,cited_by,classifications,inventors,location,n_citations,number,patent_citations,pub_date,score,title,year
0,"['US28325', 'USRE28325']","['A', 'A44', 'A44B', 'A44B11/00', 'A44B11/02', 'A44B11/06', 'A44B11/10', 'Y', 'Y10', 'Y10T', 'Y10T24/00', 'Y10T24/40', 'Y10T24/4079']",[],,2,US22352,[],1858-12-21,0.21375000000000002,And james r,1900
1,"['US28325', 'USRE28325', 'US3293176']","['C', 'C02', 'C02F', 'C02F1', 'C02F5/00', 'C02F5/08', 'C02F5/10']",[],,3,US59418,[],1866-11-06,0.21375000000000002,Albert e,1900
2,"['US3951371', 'US3889439']",['B31B50/46'],[],,2,US107,[],1836-01-01,0.15000000000000002,Withdrawn,1900
3,"['US3384031', 'US20020182208', 'US20040146637', 'US20040022091', 'US6725751', 'US20020062481', 'US20020050746', 'US20090050822', 'US20020078053', 'US20040029829', 'US20020112479', 'US20040077248', 'US20040096625', 'US20040241402', 'US20030226879', 'US20040238073', 'US20030080431', 'US20040027501', 'US20100005207', 'US20080258856', 'US20050284593', 'US20040059939', 'US20040105673', 'US20040197468', 'US20040156269', 'US20070066837', 'US20060237739', 'US20040206566', 'US20070178435', 'US20040226984', 'US20040254418', 'US20060205793', 'US20090035263', 'US9524869', 'US7928424', 'US8562738', 'US8536565', 'US20050208694', 'US20070259881', 'US20060032171', 'US20100323307', 'US20060042102', 'US20070291694', 'US20090054765', 'US20060147252', 'US20080061311', 'US20090011229', 'US20060223981', 'US20060223980', 'US20060219276', 'US7951236', 'US20060246917', 'US20060253198', 'US20070038436', 'US20070045748', 'US20070072640', 'US20070094490', 'US8181226', 'WO2007059483', 'US20070116815', 'US20090098206', 'US20140100043', 'WO2007098372', 'US20090123775', 'US20090229716', 'US20090198092', 'US20080147168', 'US20080198859', 'US20100074568', 'US20090011354', 'WO2009015037', 'US20100184708', 'US20090073704', 'US20090096254', 'WO2009118433', 'US20090292309', 'US20100115404', 'US20100146858', 'US20100162124', 'US20100189097', 'US20100226674', 'WO2010100437', 'US20100253997', 'EP2246284', 'US20110028045', 'US20110068701', 'WO2011050494', 'EP2355042', 'WO2011076535', 'WO2011160708', 'EP2425901', 'US20140011971', 'US20130323913', 'WO2014066435', 'US20150017834']","['B', 'B61', 'B61C', 'B61C11/00', 'B61C11/04', 'Y', 'Y10', 'Y10T', 'Y10T16/00', 'Y10T16/35', 'Y10T16/381', 'Y10T16/3819']",['John Ruggles'],,95,US1,[],1836-07-13,0.15000000000000002,Locomotive steam-engine for rail and other roads,1900
4,"['US3626850', 'FR2103499', 'FR2133919', 'FR2164438', 'US20040146637', 'US20040022091', 'US20020028274', 'US20010033354', 'US20040036288', 'US20020078053', 'US20040198119', 'US20040094086', 'US20030032320', 'US20030075092', 'US20060151921', 'US20070184278', 'US20040005619', 'US20070206129', 'US20040067979', 'US20040035994', 'US20060074187', 'US20040144864', 'US20080261044', 'US20040167260', 'US20040252735', 'US20050023501', 'US20060200267', 'US20060089068', 'US20060215103', 'US20060234027', 'US20090019882', 'US20070045748', 'RU2597364', 'US20080125243', 'US20100161461', 'US20090059909', 'RU2513018', 'US20100017399', 'US20100035912', 'US8299093', 'US20100240470', 'US20110044570', 'US20120221231', 'US20120160127', 'RU2564632', 'RU2597265', 'WO2012122202', 'RU2597137', 'RU2597403', 'US20130163317', 'RU2598507', 'RU2598280']","['C', 'C02', 'C02F', 'C02F1/00']",[],,52,US2,[],1836-07-29,0.15000000000000002,mode of manufacturing wool or other fibrous materials,1900
5,"['US20020176697', 'US20020028274', 'US20040131930', 'US20010006720', 'US20010040646', 'US20030097647', 'US20010033354', 'US20020161798', 'US20040119570', 'US20040074569', 'US20040007458', 'US20020104461', 'US20040029829', 'US20040077248', 'US20040094086', 'US20020181618', 'US20040171771', 'US20030048814', 'US20030025889', 'US20040040862', 'US20030052703', 'US20030223681', 'US20030188206', 'US20040019749', 'US20030215628', 'US20070206129', 'US20060184903', 'US20040137281', 'US20040219323', 'US20080266642', 'US20050008883', 'US20050051782', 'US20100182372', 'US20100128094', 'US20070037040', 'US20070068265', 'US20100316135', 'US20090123775', 'US20100177251']","['B', 'B27', 'B27J', 'B27J1/00']",[],,39,US10,[],1836-08-10,0.15000000000000002,Gtttlslto andi,1900
6,"['US3680161', 'US4815603', 'US20020075792', 'US20040022091', 'US20020028274', 'US20040012746', 'US20010006720', 'US20010040646', 'US20010033354', 'US20020161798', 'US20040007458', 'US20020061236', 'US20020104461', 'US20040026268', 'US20040029829', 'US20040096625', 'US20020181618', 'US20040238084', 'US20040219328', 'US20070042517', 'US20070184278', 'US20070206129', 'US20040046679', 'US20040071919', 'US20060184903', 'US20040137281', 'US20040121513', 'US20050008883', 'US20050023501', 'US20050051782', 'US20050151989', 'US20070068265', 'US20090123775', 'US20080094546', 'EP2053688', 'US20100257910', 'WO2012131370', 'US20150309897', 'US9600382']","['B', 'B25', 'B25C', 'B25C1/00', 'B25C1/02']",[],,39,US9,[],1836-08-10,0.15000000000000002,Thomas blanchard,1900
7,"['US20020176697', 'US20040046260', 'US20040141632', 'US20040131930', 'US20010006720', 'US20010040646', 'US20050053737', 'US20030097647', 'US20020161798', 'US20020104461', 'US20040094086', 'US20040238084', 'US20030025889', 'US20030032320', 'US20030052703', 'US20030075092', 'US20060093633', 'US20070206129', 'US20060121022', 'US20040071919', 'US20040252440', 'US20050008883', 'US20050051782', 'US20050082171', 'US20060144645', 'US20070124199', 'US20090123775']","['D', 'D01', 'D01G', 'D01G5/00']",[],,27,US11,[],1836-08-10,0.15000000000000002,,1900
8,"['US20020075792', 'US20040022091', 'US20040046260', 'US20040141632', 'US20020028274', 'US20040131930', 'US20010040646', 'US20020161798', 'US20030028018', 'US20020061236', 'US20020171503', 'US20020181618', 'US20040241402', 'US20040238080', 'US20040219328', 'US20030052703', 'US20030188206', 'US20030215628', 'WO2003099858', 'US20070206129', 'US20040111313', 'US20060184903', 'US20040178854', 'US20040185280', 'US6802308', 'US20040253484', 'US20050151989', 'US20060026374', 'US20100232231', 'US20090082263', 'US20070117075', 'US20080152804', 'RU2442792', 'US20090109676', 'US20090277929', 'US20090245896', 'US20120174295', 'WO2010106188', 'WO2011107504', 'RU2452536', 'RU2452455', 'RU2458146', 'RU2468834', 'RU2499551', 'RU2475225', 'US20150200822', 'RU2489129', 'US20140139436', 'US9170650']","['E', 'E02', 'E02B', 'E02B7/00', 'E02B7/20', 'E02B7/40', 'E02B7/42', 'Y', 'Y10', 'Y10S', 'Y10S2/00', 'Y10S2/903', 'Y', 'Y10', 'Y10S', 'Y10S209/00', 'Y10S209/933', 'Y', 'Y10', 'Y10T', 'Y10T408/00', 'Y10T408/47', 'Y10T408/488']",[],,49,US7,[],1836-08-10,0.15000000000000002,Thomas blanchard,1900
9,"['US20040210746', 'US20030229571', 'US20020075792', 'US20040022091', 'US20040208243', 'US20020028274', 'US20040213218', 'US20010006720', 'US20020161798', 'US20030028018', 'US20040029829', 'US20060117212', 'US20040077248', 'US20030161753', 'US20040096625', 'US20050119372', 'US20020197568', 'US20020181618', 'US20090209734', 'US6813147', 'US20030058416', 'US20090189959', 'US20030223681', 'US20030188206', 'US20070118023', 'US20030215628', 'US20030218123', 'US20060093633', 'US20050048044', 'US20060184903', 'US20040137281', 'US20070077301', 'US20080261044', 'US20040186767', 'US20040199471', 'US20040219323', 'US20090062961', 'US20040252735', 'US20050051782', 'US20050082171', 'US20050151989', 'US20050165480', 'WO2005091951', 'US20080219249', 'US20070194599', 'US20060219957', 'US20090183366', 'US20070068265', 'RU2497949', 'US20100152132', 'US20100062830', 'RU2492866', 'RU2555343', 'RU2555343', 'US20090245896', 'US20100026123', 'US20100083877', 'US20110216643', 'RU2542779', 'RU2573211', 'RU2542446', 'US20110219518', 'RU2449763', 'RU2567052', 'RU2552347', 'RU2454177', 'RU2458146', 'RU2489134', 'RU2484139', 'RU2488629', 'RU2576595']","['B', 'B27', 'B27C', 'B27C5/00', 'B27C5/02', 'B27C5/06']",[],,71,US6,[],1836-08-10,0.15000000000000002,Thomas blanghard,1900
