title,number,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
,US11,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,,,,,,,,,,,,,,,
"Addition products of 3, 4 dehydrocyclotetramethylene sulphone",US2219006,,,,,,,,,,,0.9615375,,,,,,,,,,,,,,
Aircraft,US2280835,,,,,,,,,,,,2.3236965,4.1088835,7.0998209999999995,,,,,,,,,,,
Albert e,US59418,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.181875,,,,,,,,,,,,,,,
Alternating current rectifier,US2402661,,,,,,,,,,,,,,,11.435535,15.497022000000001,19.130661499999995,22.241584999999997,26.882746499999996,33.010048,41.548858999999986,54.21845750000001,62.574382499999984,71.82058049999996,77.35892550000003
And james r,US22352,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.21375000000000002,0.181875,,,,,,,,,,,,,,,
Antenna switching system,US2189549,,,,,,,,,,,1.4609295,3.3949174999999996,4.826955,,,,,,,,,,,,
Antenna switching system,US2189550,,,,,,,,,,,1.4609295,3.3949174999999996,4.826955,,,,,,,,,,,,
Artificial resins and process of making them,US2047398,,,,,,,,,,,1.0211735,3.3680829999999995,5.4526825,7.854434,11.075526,,,,,,,,,,
Assistants for the textile and related industries,US1970578,,,,,,,,,,,,3.6589104999999993,7.641118,12.2991265,19.094749000000004,21.992008000000002,26.6368415,30.646997000000002,34.67578450000001,39.399991,44.633347500000006,49.8399375,,,
Atomic or molecular oscillator circuit,US2836722,,,,,,,,,,,,,,,13.461118999999998,26.9876025,36.7291805,44.750392500000004,57.947959999999995,76.1738725,95.131754,121.08776200000001,141.01002799999995,161.05738850000003,173.109122
Aureomycin and preparation of same,US2482055,,,,,,,,,,,,,4.1542735,7.0966675,,,,,,,,,,,
Automatic message switching system,US2667533,,,,,,,,,,,,,,,,,,,,,41.11096450000001,61.495154500000005,79.112756,101.07831149999998,112.91655050000001
Available,US49,0.15000000000000002,0.15000000000000002,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,
Axle and method of making the same,US1823158,,,,,,,,0.181875,0.17550000000000002,0.17550000000000002,,,,,,,,,,,,,,,
