title,category,1,2
"How Flexbox works‰Û_‰ÛÓ‰Û_explained with big, colorful, animated gifs",Design,5700,200
How I went from zero experience to landing a 6-figure San Francisco design job in less than 12 months,Design,3700,2466.666667
"I ranked every Intro to Data Science course on the internet, based on thousands of data points",Data Science,1600,1066.666667
Nobody wants to use software,Development,2700,1800
A million requests per second with Python,Development,1100,733.3333333
Material Design and the Mystery Meat Navigation Problem,Design,1100,733.3333333
Lossless Web Navigation with Trails,Design,688,458.6666667
How to use spaced repetition with Anki to learn to code faster,Development,756,504
How to commit entire directories to GitHub directly from your browser using GitHub.js,Development,82,54.66666667
"Every time you build a to-do list app, a puppy dies",Development,1500,1000
How to build your own Uber-for-X application part 2,Development,650,433.3333333
How we got our 2-year-old repo trending on GitHub in just 48 hours,Data Science,718,478.6666667
How making hundreds of hip hop beats helped me understand HTML and CSS,Development,506,337.3333333
Scaling your Redux App with ducks,Development,315,210
A Beginner‰Ûªs JavaScript Study Plan,Development,672,448
JavaScript‰Ûªs Prototypal Inheritance Explained Using CSS,Development,519,346
Tree-shaking ES6 Modules in webpack 2,Development,86,57.33333333
3 JavaScript questions to watch out for during coding interviews,Development,1100,733.3333333
Build a Node.js API in Under 30 Minutes,Development,343,228.6666667
npm cache: the unsung hero,Development,122,81.33333333
Code That Doesn't Exist Is The Code You Don't Need To Debug,Development,204,136
A 5-minute Intro to Styled Components,Design,760,506.6666667
How to land a top-notch tech internship‰Û_‰ÛÓ‰Û_and a tech job‰Û_‰ÛÓ‰Û_while you‰Ûªre still in school,Development,1600,1066.666667
"Firebase: the great, the meh, and the ugly",Development,407,271.3333333
Which programming languages got the most GitHub stars in 2016?,Data Science,100,66.66666667
ElasticSearch with Django the easy way,Development,115,138
Git Please: how to force push without being a jerk,Development,66,79.2
React Interview Questions,Development,389,466.8
"React‰Ûªs Five Fingers of Death. Master these five concepts, then master React",Development,1700,2040
How to set up ESLint in Atom so you can contribute to Open Source,Development,94,112.8
"If you want a developer job, be fearless and dream big",Development,695,834
Understanding Flexbox: Everything you need to know,Design,2200,2640
How I designed an algorithm that mixes playlists of bands coming to your town,Design,47,56.4
How making hundreds of hip hop beats helped me understand HTML and CSS,Design,506,607.2
WebSlides: a new open source way to build beautiful presentations that run in your browser,Design,747,896.4
What I‰Ûªve learned from 18 weeks of vlogging my coding journey,Design,276,331.2
How I used machine learning to explore the differences between British and American literature,Data Science,74,88.8
The Rise of the Data Engineer,Data Science,862,1034.4
How to bootstrap your analytics in 1 hour,Data Science,90,108
Rolling Stone‰Ûªs 500 Greatest Albums Visualized Using Pandas and Bokeh,Data Science,48,57.6
Recognizing Traffic Lights With Deep Learning,Data Science,1700,2040
Women only said 27% of the words in 2016‰Ûªs biggest movies,Data Science,1000,1200
What I learned from analyzing the top 252 Medium stories of 2016,Data Science,2200,2640
