avg_AR,avg_AR_val,max_AR,max_AR_val,median_AR,median_AR_val,min_AR,min_AR_val
Hsin-Sheng Duan,6.82722175,Brian K. Kit,12.026633499999996,Hsin-Sheng Duan,6.82722175,Ben McGuinness,5.719650500000001
Brian K. Kit,6.316448249999999,Hsin-Sheng Duan,8.499686,Brian K. Kit,6.316448249999999,Hsin-Sheng Duan,5.154757499999999
Ben McGuinness,5.719650500000001,Debbie Beumer,6.637616499999999,Ben McGuinness,5.719650500000001,C. Dutriaux,4.228198000000001
C. Dutriaux,4.228198000000001,Andrea Pedroza,6.456932000000001,Nam Joong Jeon,5.163920499999999,Brian Lestini,4.134816999999999
Brian Lestini,4.134816999999999,Eiman Jahangir,6.456932000000001,C. Dutriaux,4.228198000000001,Elena López-Cancio,3.639811
Nam Joong Jeon,4.116388999999999,Nam Joong Jeon,5.7752915,Brian Lestini,4.134816999999999,Laurie Ek,3.5822745000000005
Elena López-Cancio,3.639811,Jun Hong Noh,5.7752915,Elena López-Cancio,3.639811,Zhiliang Ku,3.37116
Laurie Ek,3.5822745000000005,Nawaf Yassi,5.719650500000001,Shelley F. De La Vega,3.5822745000000005,Charles M Rudin,3.226218
Zhiliang Ku,3.37116,Ben McGuinness,5.719650500000001,Laurie Ek,3.5822745000000005,J. R. Brahmer,3.226218
Charles M Rudin,3.226218,Dietrich Plass,5.135828,Zhiliang Ku,3.37116,Sandra Rost,3.090388
J. R. Brahmer,3.226218,Kingsley N. Ukwaja,5.135828,J. R. Brahmer,3.226218,Marc G. Bellemare,2.9349485
Sandra Rost,3.090388,Neeraj Bedi,5.135828,Charles M Rudin,3.226218,Daan Wierstra,2.9349485
Nawaf Yassi,2.9654932500000006,Ben Schöttker,5.135828,Sandra Rost,3.090388,Megan Wind-Rotolo,2.7549525000000004
Shelley F. De La Vega,2.9572610000000004,Amany H. Refaat,5.135828,Nawaf Yassi,2.9654932500000006,R. van Bork,2.6715845000000003
Marc G. Bellemare,2.9349485,Karen M. Tabb,5.135828,Marc G. Bellemare,2.9349485,Sacha Epskamp,2.6715845000000003
Daan Wierstra,2.9349485,Shelley F. De La Vega,5.135828,Daan Wierstra,2.9349485,D. van den Bergh,2.6715845000000003
Megan Wind-Rotolo,2.7549525000000004,Chante Karimkhani,5.135828,Megan Wind-Rotolo,2.7549525000000004,Dmitriy Smirnov,2.5272205000000003
