avg_AR,avg_AR_top_collabs,avg_AR_val,max_AR,max_AR_top_collabs,max_AR_val,median_AR,median_AR_top_collabs,median_AR_val,min_AR,min_AR_top_collabs,min_AR_val
Rileen Sinha,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",1.463698375,Peter H. Sudmant,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",2.5272205000000003,Rileen Sinha,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",1.2342982500000002,B. Arman Aksoy,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.2674785
B. Arman Aksoy,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.92188925,Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",2.5272205000000003,B. Arman Aksoy,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",1.06289575,Rileen Sinha,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.26372150000000005
Daniel J. Weisenberger,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.8417245000000001,Daniel J. Weisenberger,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",2.436432,Daniel J. Weisenberger,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.4721755,Manuel A. Rivas,"[""Jane Peterson"",""Felsenfeld Al"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.172049
Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",0.79297825,Rileen Sinha,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",2.436432,Manuel A. Rivas,"[""Jane Peterson"",""Felsenfeld Al"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.32431375,Gordon Saksena,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.16255450000000002
Manuel A. Rivas,"[""Jane Peterson"",""Felsenfeld Al"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.7057374375,Manuel A. Rivas,"[""Jane Peterson"",""Felsenfeld Al"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",2.0621345,Peter H. Sudmant,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",0.2875045,Peter H. Sudmant,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",0.15349350000000006
Peter H. Sudmant,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",0.57690145,B. Arman Aksoy,"[""Jane Peterson"",""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",1.2942870000000002,Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",0.2470955,Gane Ka Shu Wong,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",0.15323
Sahil Seth,"[""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",0.3409712894736843,Sahil Seth,"[""Michael C. Wendl"",""Lucinda Fulton"",""Mark S. Guyer""]",1.2942870000000002,Sachet A. Shukla,"[""Jane Peterson"",""Lucinda Fulton"",""Mark S. Guyer""]",0.1993085,Georgi K. Marinov,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",0.15102000000000002
Sachet A. Shukla,"[""Jane Peterson"",""Lucinda Fulton"",""Mark S. Guyer""]",0.32009775,Zhongwu Lai,"[""Eugene W. Myers"",""Josep F. Abril""]",0.862793,Zhuzhu Zhang,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",0.190681,Timothy E. Reddy,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",0.15096050000000005
Selina Vattathil,"[""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",0.2674515833333333,Sachet A. Shukla,"[""Jane Peterson"",""Lucinda Fulton"",""Mark S. Guyer""]",0.8451894999999999,Georgi K. Marinov,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",0.18800775000000006,Zamin Iqbal,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Michael C. Wendl"",""Lucinda Fulton"",""W. James Kent"",""Mark S. Guyer""]",0.1505015
Gane Ka Shu Wong,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",0.26741475,Selina Vattathil,"[""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",0.8214235000000001,Timothy E. Reddy,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",0.185564,Sachet A. Shukla,"[""Jane Peterson"",""Lucinda Fulton"",""Mark S. Guyer""]",0.15000000000000002
