last_author_yr,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_val
Alicia M. Arkell,2017,I. Chakaberia,Annalisa M. VanHook,16.259040248800424,Omar Abdel-Wahab,264.5273523615079,Tõnu Esko,718.418143850069,al. et,139.88509703275832,3648
Adrienn Lukács,2017,F. J. M. Geurts,Castleman B,2.568158399234671,Scott J. Rodig,241.979086738616,Nicole Soranzo,643.5535494135568,Omar Abdel-Wahab,113.46542123216891,3648
Sarah L. Field,2017,D. Vishnevskiy,James F. Southern,2.49098201492523,al. et,227.0308741113206,M. Arfan Ikram,488.54742320307787,Scott J. Rodig,111.59942827473101,3375
Maura Bríd Cotter,2017,A. Svyatkovskiy,David Cyranoski,2.2504474779743147,Tõnu Esko,194.9176898059428,Norman Klopp,475.1871465810468,Annalisa M. VanHook,107.52236113611285,3375
Terry R. Medler,2017,S. Tuo,Anand Vaidya,2.115221003273533,Nicole Soranzo,189.636789327772,Michael A. Nalls,471.2644495582508,Jeffery L. Kutok,85.25602984810273,3375
Elisa Bono,2017,N. Odell,Jon Clardy,2.069774132038888,Fabio Ciceri,174.09365212474148,Sonja I. Berndt,469.69443712196914,Benjamin L. Ebert,78.42929649916759,3375
Sandro Morganella,2017,B. Millan Mejias,Eugene J. Mark,2.0300292485491904,Michael A. Nalls,172.3139788755639,Najaf Amin,456.0156071601616,Fabio Ciceri,77.66679115257121,3375
Kecheng Jie,2017,Y. M. Tzeng,Peter Aldhous,1.9451531872609658,Benjamin L. Ebert,159.7838216909422,David Van Den Berg,455.9983003249347,Cyril H. Benes,74.192525077435,3375
Jacob D. Aguirre,2017,S. C. Zenz,E J Cragoe,1.9120190862930757,Cyril H. Benes,157.9047776920664,Alexander Teumer,448.5228451094758,Vanderson Rocha,66.79949963710712,3375
P Ramirez Martinez,2017,V. Oreshkin,David L. Gang,1.8426688859711144,Jeffery L. Kutok,156.04417682455502,John R B Perry,437.1660907171848,Jeffrey R. Infante,65.42132209858411,3375
Nurit Livnat-Levanon,2017,N. Parashar,Bebe Loff,1.7804840933202235,Sonja I. Berndt,155.4516046174016,Carrie Sougnez,415.6056061903137,Aristoteles Giagounidis,65.3622653894975,3375
Tiffany C. Scharschmidt,2017,N. Lychkovskaya,Karen Birmingham,1.759358682075965,Carrie Sougnez,145.45002051077657,Omar Abdel-Wahab,415.4444983183248,Elisa de Stanchina,64.99333490894594,3375
Zhexing Wen,2017,S. Morovic,De Pei Wu,1.7299177279386593,David Van Den Berg,144.13802785400503,Benjamin F. Voight,409.60036874715485,Andrew L. Kung,63.48990356707293,3375
Kiran Devisetty,2017,A. Benaglia,Adam S. Cifu,1.709822847691981,Aristoteles Giagounidis,142.63411764220538,Marcus E. Kleber,398.045802214842,Jeffrey W. Tyner,62.886324287358725,3375
Paula J. Hurley,2017,A. Massironi,John B. Blennerhassett,1.6878363890741956,Erika Lindquist,141.50391409807082,Stella Trompet,385.8187229004902,Farhad Ravandi,61.11031491988652,3375
Cédric Aria,2017,D. Baumgartel,Karl H. Proppe,1.6240233988393524,Elisa de Stanchina,138.27547900686415,Fredrick R. Schumacher,376.0355737966085,James G. Christensen,60.73090131922294,3375
J-K Pyon,2017,J. Sammet,Declan Butler,1.6240233988393524,Jeffrey R. Infante,136.33620217313174,Harald Grallert,371.4955833971384,Holbrook Kohrt,60.587047633919724,3375
Lorraine Scotson,2017,H. Bakhshiansohi,Richard T. Arnold,1.6207285855586426,Norman Klopp,135.78127704588385,Joshua C. Bis,371.4078955338607,Irene M. Ghobrial,60.241151506556406,3375
Longlu Wang,2017,W. To,Tyler Jacks,1.5978808759874132,Hreinn Stefansson,134.39555131915546,Stefania Bandinelli,364.9833368883451,Hiroshi Kiyonari,58.59188097863564,3375
Sarah Wassmer,2017,Sanjay Padhi,Esmond E. Snell,1.5969058153878757,Levi A. Garraway,134.38580265175486,Scott J. Rodig,362.1817457766352,Swaminathan Padmanabhan,57.721471917270755,3375
Gerta Hoxhaj,2017,W. Clarida,Gerald Nash,1.584612742132263,Murim Choi,133.7888735938075,Stephan Ripke,361.52286021635285,Saad Z Usmani,57.450039187522094,3375
Tatiana Helena T.H. Rech,2017,I. Gonzalez Caballero,John I. Gallin,1.5555837406162818,Vanderson Rocha,132.1423986581744,Devin Absher,359.14491117420533,Lubomir Sokol,57.179816494077656,3375
Eisuke Itakura,2017,T. Peltola,al. et,1.5511981193441524,M. Arfan Ikram,131.66176846076266,Themistocles L. Assimes,358.6144626014083,Sarit Assouline,55.695860924035465,3375
Kr Tkaczuk,2017,G. Della Ricca,Quentin H. Gibson,1.5298723963302483,Paul A. Northcott,129.97767652575146,Hreinn Stefansson,358.11809981793016,Ilaria Iacobucci,55.44232972009436,3375
Deborah Morrogh,2017,D. Sabes,Robert C. Gallo,1.5134952260623236,Annalisa M. VanHook,129.83007244347152,Karen L. Mohlke,356.38614079842597,Ian E. Krop,55.335859491933526,3375
Dalliah M. Black,2017,T. Medvedeva,Jerrold Meinwald,1.4966486523535458,Ilaria Iacobucci,128.04734844175897,Guillaume Lettre,351.5189677106936,Manel Esteller,55.084046101127356,3375
James Coghill,2017,P. Musella,H. Hugh Fudenberg,1.488863364019579,Saad Z Usmani,127.3992652958584,Lachlan Coin,344.86905160261176,Mikkael A. Sekeres,54.896897695132324,3375
Frederik R. Ehrmann,2017,P. Klabbers,George M. Whitesides,1.4827031627075342,Thomas Illig,124.25117869264645,Huyen Dinh,343.95807573116883,Zora Modrusan,54.50895177280656,3375
Michel Nederlof,2017,B. Gomber,David Malakoff,1.471367901487696,Sarit Assouline,122.43118621409693,Hilma Holm,341.3124485105241,Franck E. Nicolini,54.21033138639174,3375
Rajesh P. Balaraman,2017,P. Lamichhane,William G. Dauben,1.4692387697659441,Eric A. Collisson,121.31807281859058,Omri Gottesman,340.73052559618,Constantine S. Mitsiades,53.592799679562944,3375
Ifedayo Morayo O Adetifa,2017,I. Ojalvo,Gutkind Js,1.4677455983349772,Gudrun Göhring,120.84111749229862,Thomas Illig,336.09415688980187,Leandro Cerchietti,53.37372265702719,3375
Nora Scherer,2017,M. Dünser,Nelson J. Leonard,1.452926969101855,Alexei Protopopov,119.48470956153774,Manuela Uda,332.09283800246465,Michael S. Seaman,53.23126920357169,3375
Christopher Golz,2017,B. Bilki,James J. Galdabini,1.4529269691018547,Zora Modrusan,119.1324533843212,Ruth J. F. Loos,331.40907383338384,Richard R. Furman,52.02875161078838,3375
S Boussetta,2017,J. Luetic,Rony Seger,1.4064035859437114,Monkol Lek,119.05859573761423,Anubha Mahajan,328.89954747815267,Wolf-Karsten Hofmann,51.89018007608584,3375
Petra Rauchhaus,2017,Shih-Chuan Kao,Liqun Luo,1.404158935962745,Irene M. Ghobrial,118.75655730707784,Monkol Lek,328.71867692149385,Daniel J. DeAngelo,51.762403458191386,3375
Zhuofeng Hu,2017,J. Alimena,Mark S. Boguski,1.3873237657490998,James G. Christensen,118.00134017717559,Zoltán Kutalik,320.1837570126217,Siraj M. Ali,51.46389987102137,3375
Craig Gedye,2017,N. Beni,George S. Hammond,1.383611920843194,Jeffrey W. Tyner,117.07416846400963,Nina Thiessen,315.8826612057878,Jacob P. Laubach,50.830305841235656,3375
Eniko Sajti,2017,P. Hebda,Gerhard N. Schrauzer,1.378724330132462,Andrew L. Kung,116.77087502505405,Hyun Min Kang,315.1042779014158,Jonathan L. Kaufman,50.66407640078744,3375
Yiran Qin,2017,A. Tumasyan,William Shive,1.3647765853617833,Michael S. Seaman,116.43518703755426,Stavroula Kanoni,308.8970097887545,Guido Marcucci,50.058730631896935,3375
Peter Wipfler,2017,P. Verwilligen,Ehsan Masood,1.3647765853617833,Farhad Ravandi,115.66222991721632,Anke Tönjes,307.55515224050237,Kristie A. Blum,49.92345609692943,3375
Elie El Agha,2017,A. Hinzmann,Pedro Cuatrecasas,1.352420490554513,Benjamin F. Voight,115.25714991924744,Erika Lindquist,306.8713844890397,Carmen Behrens,49.63665797832035,3375
Andrea P. Moy,2017,P. Vischia,Maria A. Blasco,1.346414746354546,Najaf Amin,115.20687829864535,Xueling Sim,302.9573745877612,Anthony R. Mato,49.46659943323533,3375
Pan-Pan Wang,2017,M. Luk,Michael Graetzel,1.3411809958730472,Peter S. Hammerman,114.6590429984318,Jouke Jan Hottenga,301.5839568533617,Reinhard Fässler,49.402563294703675,3375
Renée Fleming,2017,F. Golf,Charles C. Price,1.3275225760373408,Siraj M. Ali,114.36431786717857,Jonine D. Figueroa,299.79062291990493,Laura Z. Rassenti,49.262046241241045,3375
Christoph Salat,2017,S. A. Koay,Fiona Graeme-Cook,1.3230629776585692,Hiroshi Kiyonari,114.22904983044596,Tune H. Pers,299.35522994751494,Gudrun Göhring,49.220373322469776,3375
Phoebe K. Allan,2017,D. Tlisov,David G. Poplack,1.3190935126176295,Kristie A. Blum,114.0523338547015,Vasiliki Lagou,296.710064847021,David Sidransky,49.22011215615442,3375
