avg_disrupt,avg_disrupt_val,last_author_yr,last_author_yr_val,max_disrupt,max_disrupt_val,median_disrupt,median_disrupt_val,min_disrupt,min_disrupt_val,num_disrupt,num_disrupt_val
Emily Singer,0.34298999273227804,Grant Nguyen,2016,Jane Fridlyand,0.9897959183673468,Emily Singer,0.375,Thomas J. Merimee,0.0012905604719764012,Ben Short,245
N. Xeros,0.2599267304295377,Alexandra A. Mushegian,2016,Nathanael S. Gray,0.9888392857142856,Mark Crawford,0.25,Aris Persidis,0.0007939658594680427,Nicole LeBrasseur,230
Mark Crawford,0.2548941798941799,Sahil Seth,2015,Gonçalo R. Abecasis,0.9801324503311258,N. Xeros,0.22386853448275865,Joseph E. Parrillo,0.00030321406913280777,Heidi Ledford,183
Charles G. Roland,0.2317548305353183,Peter Van Loo,2015,M. J. Rees,0.9714285714285714,Charles G. Roland,0.17073170731707318,Emily J. Chenette,0.0,Annalisa M. VanHook,136
Stacy Lawrence,0.21953373015873012,Christopher A. Klebanoff,2015,Dm Barnes,0.9629629629629628,Herbert W. Roesky,0.1,Vivien Choo,0.0,Katharine Sanderson,106
Elizabeth Culotta,0.21329531947569974,Caitlyn Steiner,2015,Tito Fojo,0.9555984555984556,Z. Janousek,0.09125607217210273,Alexandra A. Mushegian,0.0,Kendall Powell,105
Herbert W. Roesky,0.18289854357637506,Semaw Ferede Abera,2015,Timothy R. Hughes,0.9375,M Sun,0.08579749103942652,David Adam,0.0,Michael Hopkin,88
David Cyranoski,0.17967861354626094,Jouke Jan Hottenga,2015,Daan M. F. van Aalten,0.9347826086956522,JohnS.S. Stewart,0.08405748663101605,Irene Jarchum,0.0,Erika Check,85
Ann Gibbons,0.16361599123074427,Nicholas McGranahan,2015,William J. Broad,0.9230769230769232,Elizabeth Culotta,0.07862990090478242,Narelle Towie,0.0,Neil Withers,81
Jl Fox,0.15013234071891352,Tibor Szilvási,2015,Geoff Brumfiel,0.9117647058823528,Shu Man Fu,0.06389986824769434,Janet Fang,0.0,Daniel Cressey,80
J Marx,0.14934492240899194,M. Gordon Joyce,2015,Mariusz A. Wasik,0.9042553191489362,J. Lindsten,0.059701492537313425,Valery A. Portnoi,0.0,Emma Marris,77
Jean L. Marx,0.14744189933240415,Ludmil B. Alexandrov,2015,Nuno Maulide,0.8958333333333334,Aris Persidis,0.05511811023622047,Grant Miura,0.0,Elie Dolgin,76
O. Glemser,0.14457052059513492,Andrew E. Jaffe,2015,John D. Altman,0.8928571428571429,D. G. King-Hele,0.04167718589581755,Tamas Hickish,0.0,al. et,75
Sylvia Dewilde,0.14352347800750254,Rahul Satija,2015,Stephen P. Schoenberger,0.8877551020408163,Halla Thorsteinsdóttir,0.04166666666666666,Nathan Blow,0.0,Geoff Brumfiel,70
Daan M. F. van Aalten,0.1427903121593881,Hadas Keren-Shaul,2014,Piotr E. Marszalek,0.8875,Sigurd Hoehne,0.04079861111111111,Francesca Pezzetta,0.0,Natalie de Souza,66
M Sun,0.14275857654889915,Maxime A. Siegler,2014,Andres F. Oberhauser,0.8875,Hershel Jick,0.04057693451495867,Michelle Francl,0.0,David Adam,65
Geoff Brumfiel,0.13999632220683647,Gwo-Yu Chuang,2014,Antoine M. van Oijen,0.8852459016393442,Kakkar Vv,0.03289473684210526,Kakkar Vv,0.0,Omar Abdel-Wahab,62
U. Wannagat,0.1381364672221614,Karen M. Tabb,2014,Seung Hoi Koo,0.8767123287671232,Jean L. Marx,0.030973451327433624,Amy Donner,0.0,Nicole Kresge,62
Guido Kroemer,0.13058451366573834,Eva M. Huber,2014,Warren H. Cole,0.875,G. M. Besser,0.030670376258611555,F. Nour-Eldin,0.0,Tõnu Esko,61
Peter Aldhous,0.1275061526314716,Federico Pietrocola,2014,Anne Simon Moffat,0.875,Sylvia Dewilde,0.026997840172786176,Leslie K. Ferrarelli,0.0,Ewen Callaway,61
Anne Simon Moffat,0.1212807507735999,Amanda B. Keener,2014,Paul E. Fraser,0.8698630136986302,K. Weidenhammer,0.02513070342205323,Betsy Mason,0.0,Nicole Soranzo,57
Jeffrey Mervis,0.1182748538011696,Zheng‐Wang Qu,2014,David Cyranoski,0.8666666666666667,Fritz R. Kreißl,0.023443029016277418,Zoë Corbyn,0.0,Caitlin Sedwick,57
William J. Broad,0.11682148403389694,Amy A. Sarjeant,2014,Alexandra M. E. Jones,0.8619047619047621,Emil Frei,0.022913256955810143,Mark Haw,0.0,Erin E. Hartman,53
Steffen Jockusch,0.11058012421558107,Omri Gottesman,2014,Jean L. Marx,0.8518518518518519,BryanN. Brooke,0.02255747126436781,Luca Mascitelli,0.0,Helen Pilcher,52
Warren H. Cole,0.10716824230296967,Daniel C. Casey,2014,Susana C. Raimondi,0.8461538461538461,S.R. Bloom,0.02232142857142857,Elizabeth Culotta,0.0,Jeffery L. Kutok,50
Johann Mulzer,0.1062944026513442,Christian Hörl,2014,Iuliana Atodiresei,0.8389261744966443,O. Glemser,0.02024425859551308,Amber Dance,0.0,Roxanne Khamsi,49
Debra J. Gilbert,0.09896645743673582,Niek Verweij,2014,Luis Herrera-Estrella,0.8375286041189931,Kenneth Sterling,0.01991145092804844,Jean L. Marx,0.0,Scott J. Rodig,47
Erika Check,0.09841235450890697,Steven H. Liang,2014,Erika Check,0.8333333333333334,Dieter Hoppe,0.017619047619047618,Jessa Netting,0.0,Omar K. Farha,46
M. J. Rees,0.09751971609546906,Christoph Schwarzmaier,2014,N. Xeros,0.8333333333333334,Wolfgang A. Herrmann,0.01667129758266185,Kerri Smith,0.0,Constantin G. Daniliuc,46
