unique_coauthor_profs_lin_damp,,,,,,,unique_coauthor_profs_sqrt_damp,,,,,,,avg_PR,,,,,,,avg_disrupt,,,
Najaf Amin,,,"Rotterdam, genetic variations for depression",,,,Najaf Amin,456.0156072,,,,,,Kaushalendra Kumar,,Animal scientist ,,,,,Lalitha Bhagavatheeswaran,,,Global Health Security at BMJ
Siraj M. Ali,,,Beth Israel pathlogist (Brookline),,,,Omri Gottesman,340.7305256,,,,,,Emily Dansereau,,UW Global Health Metrics ,,,,,Jonathan D. Alpern,,,"Minnesota Med school, antibiotic resistance"
Jacqueline C. Barrientos,,,NY Oncology research,,,,Jouke Jan Hottenga,301.5839569,"Personalized medicine, Amsterdam",,,,,Phillip S. Pang,,CMO at Vir Biotech,,,,,Sam F. Halabi,,,Global Health Science Ontario
Frank Rigo,,,Pharmaceuticals,,,,Tune H. Pers,299.3552299,"Broad, BCH, HMS",,,,,Paul N. Jensen,,UW Cardiovascular Health,,,,,Thais Helena Condez,,,Brazilian herpetologist
Omri Gottesman,,,Personalized medicine,,,,Niek Verweij,281.5065828,"Genomics PLC from Broad, MGH, MIT",,,,,Jun Hong Noh,,"Civil, Environmental engineering at Korea University",,,,,Yonatan Moges Mesfin,,,Epidemiology Ethiopia
Trevor J. Pugh,,,Ontario cancer research,,,,Loic Yengo,274.8869323,Queensland molecular bioscience,,,,,Alicia V. Aleman,,,,,,,Bianca Calabria,,,Mental Health research at Aus. National Univ.
Peter Van Loo,,,Crick institute,,,,Michela Traglia,255.0673144,UCSF bioinformatics,,,,,Tariku Jibat Beyene,,Kansas State Vetrinary,,,,,Mohammad Sadegh Hassanvand,,,"Institute for Environmental Research, Tehran"
Courtney D. DiNardo,,,MD Anderson Cancer center,,,,Aung Soe Htet,251.702981,Oslo medicine,,,,,Karen M. Tabb,,"School of Social Work, UIUC",,,,,Olanrewaju Oladimeji,,,Management sciences for health
Robert T. Bailer,,,NIH immunology,,,,Karol Estrada,240.4650412,Director of statistical genetics at Brandeis,,,,,Samia Alhabib,,Saudi Hospital/research center director,,,,,Alberto L. GarcÃ­a-Basteiro,,,"Global Health Young Investigator prize, Barcelona"
Tune H. Pers,,,,,,,Daniel J. Weisenberger,239.5795159,,,,,,Sergey Soshnikov,,Quantitative Social Research in Russia,,,,,Gene F. Kwan,,,BU Medicine Cardiovascular center
