"name","num_pubs_pre","avg_PR_pre","max_PR_pre","median_PR_pre","num_pubs_post","avg_PR_post","max_PR_post","median_PR_post"
"M. Delord","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Ville O. Paavilainen","4","0.29419399999999996","0.465945","0.28041550000000004","1","0.16219750000000002","0.16219750000000002","0.16219750000000002"
"Kwang-Yu Chang","2","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Jordi Barretina","4","2.6568964999999998","8.596730499999998","0.94042775","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Zongdi Feng","2","0.44826075000000004","0.7144425000000001","0.44826075000000004","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Casey R. Wade","4","0.346373375","0.4076095","0.34874700000000003","1","0.19653750000000003","0.19653750000000003","0.19653750000000003"
"Rainer Kalscheuer","3","0.8720211666666665","1.7138979999999997","0.5652249999999999","1","0.157939","0.157939","0.157939"
"Gerry P. Crossan","2","0.4473512500000001","0.7294195000000001","0.4473512500000001","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Edze R. Westra","1","0.35343050000000004","0.35343050000000004","0.35343050000000004","1","0.20581100000000002","0.20581100000000002","0.20581100000000002"
"Claudia E. Paba-Prada","2","0.15220150000000002","0.15337450000000002","0.15220150000000002","1","0.15385900000000002","0.15385900000000002","0.15385900000000002"
"Bernd Bufe","3","0.8824053333333334","2.261451","0.19333300000000003","1","0.1577435","0.1577435","0.1577435"
"Lea Cunningham","1","0.238196","0.238196","0.238196","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Wooping Ge","1","0.3485345","0.3485345","0.3485345","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Corey C. Harwell","2","0.22949625","0.2577205","0.22949625","1","0.16522350000000002","0.16522350000000002","0.16522350000000002"
"Jeremy A. Daniel","4","0.540547375","1.2285820000000003","0.33300075000000007","1","0.1582025","0.1582025","0.1582025"
"Connie Piccone","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Zhongbin Zhuang","3","0.6391325","1.142545","0.404303","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"M-Jtfd Vrancken Peeters","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Anne Grosse-Wilde","5","0.2600274","0.661343","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Flávio V. Loures","1","0.179631","0.179631","0.179631","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Jing-You Guo","1","0.1537485","0.1537485","0.1537485","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Daniel T. Sweet","1","0.2148125","0.2148125","0.2148125","1","0.153349","0.153349","0.153349"
"Benoit Brethon","2","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Christopher J. Coke","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15310250000000003","0.15310250000000003","0.15310250000000003"
"Bree B. Aldridge","2","1.1781982500000001","1.7497255","1.1781982500000001","1","0.15272000000000002","0.15272000000000002","0.15272000000000002"
"Camille Debord","1","0.15289000000000003","0.15289000000000003","0.15289000000000003","1","0.15426700000000002","0.15426700000000002","0.15426700000000002"
"Brian Y. Chow","4","0.8520235","2.7071825","0.2638235","1","0.170995","0.170995","0.170995"
"Sharon Friedlander","1","1.132583","1.132583","1.132583","4","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Anatole Ghazalpour","5","0.7100582000000002","2.087966","0.36108900000000005","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"José Pablo Leone","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Dina Zielinski","1","0.16709350000000003","0.16709350000000003","0.16709350000000003","1","0.245421","0.245421","0.245421"
"Sigal Saphier","3","0.16698300000000002","0.17275450000000003","0.169057","1","0.15725050000000002","0.15725050000000002","0.15725050000000002"
"Gene S. Tan","1","0.40698899999999993","0.40698899999999993","0.40698899999999993","1","0.15663000000000002","0.15663000000000002","0.15663000000000002"
"Elena Levantini","4","0.16885087500000004","0.20134000000000002","0.16203175000000003","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Ella R. Thompson","2","0.37671625000000003","0.6034325","0.37671625000000003","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Kr Tkaczuk","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
