name,num_pubs_pre,avg_PR_pre,max_PR_pre,median_PR_pre,num_pubs_post,avg_PR_post,max_PR_post,median_PR_post
Jordi Barretina,4,2.6568965,8.596730499999998,0.94042775,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Bi‐Jie Li,5,1.2638111,3.019192,1.115328,4,0.15418625000000002,0.16409300000000002,0.15132600000000002
Priscilla N. Kelly,5,1.1370999000000002,4.676845,0.3198725,11,0.15,0.15000000000000002,0.15000000000000002
Javier J. Concepcion,6,1.09791575,2.424345,0.81367575,2,0.15915875000000002,0.15961350000000002,0.15915875000000002
Clotilde Lagier-Tourenne,4,0.95104425,2.003935,0.75200825,2,0.254873,0.34841550000000004,0.254873
Keary M. Engle,6,0.9362585,1.5143095,0.9907987500000002,5,0.18940260000000006,0.319133,0.15997050000000002
Nirav R. Bhakta,2,0.72580275,1.0162520000000002,0.72580275,8,0.15000000000000002,0.15000000000000002,0.15000000000000002
Sebastian E. Winter,5,0.7243670999999999,1.9654044999999998,0.2785965000000001,2,0.15027200000000002,0.150544,0.15027200000000002
Angela M. Hancock,4,0.708477625,0.8816375000000001,0.7027379999999999,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Jun R. Huh,4,0.6588886250000001,1.1758395,0.64923475,2,0.3017675,0.453535,0.3017675
Mark E. Hatley,4,0.621803125,1.2730285,0.51055725,3,0.15000000000000002,0.15000000000000002,0.15000000000000002
Shaun K. Olsen,6,0.5342949166666667,0.7517830000000002,0.6016772499999999,2,0.15083725000000006,0.15167450000000002,0.15083725000000006
Carlo Stresemann,3,0.4819165000000001,1.1457495000000002,0.15000000000000002,2,0.15643450000000006,0.162869,0.15643450000000006
Da‐Gang Yu,8,0.46401975,0.9641045,0.39603675,2,0.25056350000000005,0.351127,0.25056350000000005
Hyung-Bae Kwon,2,0.45160975,0.7050839999999999,0.45160975,2,0.15468350000000006,0.159367,0.15468350000000006
Jordi Burés,4,0.412554375,0.6310830000000001,0.4047365000000001,3,0.17106583333333336,0.19630799999999998,0.16688950000000002
Chenfeng Ke,2,0.38509299999999996,0.47931549999999995,0.38509299999999996,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Yoshimi Arima,7,0.30584021428571434,0.7053050000000001,0.15000000000000002,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Cigall Kadoch,8,0.28167881250000004,0.880252,0.15000000000000002,4,0.15010412500000006,0.1504165,0.15000000000000002
Carlos Romero‐Nieto,4,0.24012975000000006,0.29484,0.25159625,2,0.16234625000000005,0.170774,0.16234625000000005
Rinath Jeselsohn,4,0.22847625,0.463905,0.15000000000000002,2,0.15045899999999998,0.15091800000000002,0.15045899999999998
Jennifer M. Munson,3,0.21700550000000005,0.25062300000000004,0.2503935,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Crispin Lichtenberg,13,0.19756926923076928,0.29938750000000003,0.19385150000000004,2,0.21375,0.2775,0.21375
R. Katherine Hyde,8,0.17548300000000006,0.26594850000000003,0.15070975000000006,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Nl Henry,5,0.1527591,0.16177249999999999,0.15000000000000002,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Rh Alvarez,3,0.15000000000000002,0.15000000000000002,0.15000000000000002,3,0.15000000000000002,0.15000000000000002,0.15000000000000002
Ayesha Zia,4,0.15000000000000002,0.15000000000000002,0.15000000000000002,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Eriko Tokunaga,2,0.15000000000000002,0.15000000000000002,0.15000000000000002,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
Hazem El-Osta,2,0.15000000000000002,0.15000000000000002,0.15000000000000002,2,0.15000000000000002,0.15000000000000002,0.15000000000000002
