avg_PR_post,avg_PR_post_val,avg_PR_pre,avg_PR_pre_val,max_PR_post,max_PR_post_val,max_PR_pre,max_PR_pre_val,median_PR_post,median_PR_post_val,median_PR_pre,median_PR_pre_val,num_pubs_post,num_pubs_post_val,num_pubs_pre,num_pubs_pre_val
Jun R. Huh,0.3017675,Jordi Barretina,2.6568965,Jun R. Huh,0.453535,Jordi Barretina,8.596730499999998,Jun R. Huh,0.3017675,Bi‐Jie Li,1.115328,Priscilla N. Kelly,11,Crispin Lichtenberg,13
Clotilde Lagier-Tourenne,0.254873,Bi‐Jie Li,1.2638111,Da‐Gang Yu,0.351127,Priscilla N. Kelly,4.676845,Clotilde Lagier-Tourenne,0.254873,Keary M. Engle,0.9907987500000002,Nirav R. Bhakta,8,Cigall Kadoch,8
Da‐Gang Yu,0.25056350000000005,Priscilla N. Kelly,1.1370999000000002,Clotilde Lagier-Tourenne,0.34841550000000004,Bi‐Jie Li,3.019192,Da‐Gang Yu,0.25056350000000005,Jordi Barretina,0.94042775,Keary M. Engle,5,R. Katherine Hyde,8
Crispin Lichtenberg,0.21375,Javier J. Concepcion,1.09791575,Keary M. Engle,0.319133,Javier J. Concepcion,2.424345,Crispin Lichtenberg,0.21375,Javier J. Concepcion,0.81367575,Cigall Kadoch,4,Da‐Gang Yu,8
Keary M. Engle,0.18940260000000006,Clotilde Lagier-Tourenne,0.95104425,Crispin Lichtenberg,0.2775,Clotilde Lagier-Tourenne,2.003935,Jordi Burés,0.16688950000000002,Clotilde Lagier-Tourenne,0.75200825,Bi‐Jie Li,4,Yoshimi Arima,7
Jordi Burés,0.17106583333333336,Keary M. Engle,0.9362585,Jordi Burés,0.19630799999999998,Sebastian E. Winter,1.9654044999999998,Carlos Romero‐Nieto,0.16234625000000005,Nirav R. Bhakta,0.72580275,Mark E. Hatley,3,Shaun K. Olsen,6
Carlos Romero‐Nieto,0.16234625000000005,Nirav R. Bhakta,0.72580275,Carlos Romero‐Nieto,0.170774,Keary M. Engle,1.5143095,Keary M. Engle,0.15997050000000002,Angela M. Hancock,0.7027379999999999,Rh Alvarez,3,Javier J. Concepcion,6
Javier J. Concepcion,0.15915875000000002,Sebastian E. Winter,0.7243670999999999,Bi‐Jie Li,0.16409300000000002,Mark E. Hatley,1.2730285,Javier J. Concepcion,0.15915875000000002,Jun R. Huh,0.64923475,Jordi Burés,3,Keary M. Engle,6
Carlo Stresemann,0.15643450000000006,Angela M. Hancock,0.708477625,Carlo Stresemann,0.162869,Jun R. Huh,1.1758395,Carlo Stresemann,0.15643450000000006,Shaun K. Olsen,0.6016772499999999,Nl Henry,2,Priscilla N. Kelly,5
Hyung-Bae Kwon,0.15468350000000006,Jun R. Huh,0.6588886250000001,Javier J. Concepcion,0.15961350000000002,Carlo Stresemann,1.1457495000000002,Hyung-Bae Kwon,0.15468350000000006,Mark E. Hatley,0.51055725,Crispin Lichtenberg,2,Bi‐Jie Li,5
Bi‐Jie Li,0.15418625000000002,Mark E. Hatley,0.621803125,Hyung-Bae Kwon,0.159367,Nirav R. Bhakta,1.0162520000000002,Bi‐Jie Li,0.15132600000000002,Hyung-Bae Kwon,0.45160975,Jordi Barretina,2,Nl Henry,5
