avg_PR,avg_PR_val,max_PR,max_PR_val,median_PR,median_PR_val,min_PR,min_PR_val,avg_AR,avg_AR_val,max_AR,max_AR_val,median_AR,median_AR_val,min_AR,min_AR_val
Ulrich K. Laemmli,35.50143112068965,Joseph Sambrook,4942.3892095,Thomas R. Dawber,2.9129802499999995,McBride Ow,0.17400400000000002,Ulrich K. Laemmli,18.6326542183908,Oliver H. Lowry,2160.6190635000007,C Redmond,1.1851215000000002,McBride Ow,0.165453
Stephen F. Altschul,23.0412924527027,Tom Maniatis,4942.3892095,Tavia Gordon,2.5180320000000003,Dennis A. Senne,0.16337050000000006,Stephen F. Altschul,12.874065466216214,Joseph Sambrook,1502.146478,W. M. Cowan,1.1634847499999998,Dennis A. Senne,0.1596305
David J. Lipman,22.62252450625001,Oliver H. Lowry,4713.407514000001,C Redmond,2.28352125,Victor E. Koteliansky,0.15982600000000002,David J. Lipman,12.561464125000004,Tom Maniatis,1502.146478,Robert T. DeBoy,1.158474,Victor E. Koteliansky,0.15869550000000002
Tom Maniatis,20.38707761056105,Ulrich K. Laemmli,2664.8158415000007,Parkhurst A. Shore,2.24471875,Colm O'hUigin,0.15944350000000002,Oliver H. Lowry,8.934022588888897,Ulrich K. Laemmli,1408.8937855,Robert J. Dodson,1.1195355,Colm O'hUigin,0.15854250000000006
Oliver H. Lowry,19.520198933333297,Lars Hedin,2039.665534,W. M. Cowan,1.98925125,J J Mekalanos,0.15941800000000006,Tom Maniatis,7.046122628712869,Paul Meier,600.3728335000002,Hoda Khouri,1.1169855,J J Mekalanos,0.15732700000000002
Joseph Sambrook,17.173985859060384,Paul Meier,1335.0490069999996,Arthur Purdy Stout,1.9683625,K. H. Cowan,0.1565705,Mark S. Guyer,5.9156973732394365,Nicoletta Sacchi,422.102206,Tavia Gordon,1.1055104999999998,K. H. Cowan,0.1540545
Lars Hedin,14.926408619718325,Linus Pauling,1062.8828659999997,G. E. Palade,1.7360829999999996,B. A. Roe,0.15478550000000002,Kary B. Mullis,5.5021838015872975,Marshal F. Folstein,383.73792349999997,Thomas R. Dawber,1.0979795,B. A. Roe,0.15384200000000006
Kary B. Mullis,13.438515611111104,David S. Johnson,1062.5223554999998,A. L. Hodgkin,1.6695875,Donna Van Engen,0.15413949999999998,Theophil Staehelin,5.422972374999996,Susan E. Folstein,383.73792349999997,Ellen E. Walters,1.0158865,Jun Lin Guan,0.15348500000000004
William H. Stein,12.567903300000001,Max Born,1033.047322,J L Goldstein,1.61592275,Per Olof Nyman,0.15404600000000002,Joseph Sambrook,5.399066439597318,Saul A. Teukolsky,379.590731,W. James Kent,0.98560525,Per Olof Nyman,0.153383
Randall K. Saiki,12.030607709459446,E. Wolf,1033.047322,John C. Cassel,1.5574045,Jun Lin Guan,0.1536975,Koichiro Tamura,5.380319899999999,Eugene W. Myers,377.10028200000005,J L Goldstein,0.96638675,Jana S. McBride,0.15272850000000002
Stanford Moore,11.630969513043482,Saul A. Teukolsky,983.9231275000003,Jerome Vinograd,1.5477995000000004,Jana S. McBride,0.15314500000000006,Desmond G. Higgins,4.936433146616542,David J. Lipman,377.10028200000005,Katherine W. Timothy,0.96199225,T. Aitchison,0.15243950000000006
Theophil Staehelin,10.459418249999997,G. M. Sheldrick,916.4720999999997,Katherine W. Timothy,1.52651125,T. Aitchison,0.15277100000000002,Lucinda Fulton,4.911550493150684,Webb Miller,377.10028200000005,Robert C. Onofrio,0.9331219999999999,Donna Van Engen,0.15237150000000002
