avg_PR,avg_PR_val,max_PR,max_PR_val,median_PR,median_PR_val,min_PR,min_PR_val,avg_AR,avg_AR_val,max_AR,max_AR_val,median_AR,median_AR_val,min_AR,min_AR_val
Ulrich K. Laemmli,35.50143112,Joseph Sambrook,4942.38921,Thomas R. Dawber,2.91298025,McBride Ow,0.174004,Ulrich K. Laemmli,18.63265422,Oliver H. Lowry,2160.619064,C Redmond,1.1851215,McBride Ow,0.165453
Stephen F. Altschul,23.04129245,Tom Maniatis,4942.38921,Tavia Gordon,2.518032,Dennis A. Senne,0.1633705,Stephen F. Altschul,12.87406547,Joseph Sambrook,1502.146478,W. M. Cowan,1.16348475,Dennis A. Senne,0.1596305
David J. Lipman,22.62252451,Oliver H. Lowry,4713.407514,C Redmond,2.28352125,Victor E. Koteliansky,0.159826,David J. Lipman,12.56146413,Tom Maniatis,1502.146478,Robert T. DeBoy,1.158474,Victor E. Koteliansky,0.1586955
Tom Maniatis,20.38707761,Ulrich K. Laemmli,2664.815842,Parkhurst A. Shore,2.24471875,Colm O'hUigin,0.1594435,Oliver H. Lowry,8.934022589,Ulrich K. Laemmli,1408.893786,Robert J. Dodson,1.1195355,Colm O'hUigin,0.1585425
Oliver H. Lowry,19.52019893,Lars Hedin,2039.665534,W. M. Cowan,1.98925125,J J Mekalanos,0.159418,Tom Maniatis,7.046122629,Paul Meier,600.3728335,Hoda Khouri,1.1169855,J J Mekalanos,0.157327
Joseph Sambrook,17.17398586,Paul Meier,1335.049007,Arthur Purdy Stout,1.9683625,K. H. Cowan,0.1565705,Mark S. Guyer,5.915697373,Nicoletta Sacchi,422.102206,Tavia Gordon,1.1055105,K. H. Cowan,0.1540545
Lars Hedin,14.92640862,Linus Pauling,1062.882866,G. E. Palade,1.736083,B. A. Roe,0.1547855,Kary B. Mullis,5.502183802,Marshal F. Folstein,383.7379235,Thomas R. Dawber,1.0979795,B. A. Roe,0.153842
Kary B. Mullis,13.43851561,David S. Johnson,1062.522355,A. L. Hodgkin,1.6695875,Donna Van Engen,0.1541395,Theophil Staehelin,5.422972375,Susan E. Folstein,383.7379235,Ellen E. Walters,1.0158865,Jun Lin Guan,0.153485
William H. Stein,12.5679033,Max Born,1033.047322,J L Goldstein,1.61592275,Per Olof Nyman,0.154046,Joseph Sambrook,5.39906644,Saul A. Teukolsky,379.590731,W. James Kent,0.98560525,Per Olof Nyman,0.153383
Randall K. Saiki,12.03060771,E. Wolf,1033.047322,John C. Cassel,1.5574045,Jun Lin Guan,0.1536975,Koichiro Tamura,5.3803199,Eugene W. Myers,377.100282,J L Goldstein,0.96638675,Jana S. McBride,0.1527285
Stanford Moore,11.63096951,Saul A. Teukolsky,983.9231275,Jerome Vinograd,1.5477995,Jana S. McBride,0.153145,Desmond G. Higgins,4.936433147,David J. Lipman,377.100282,Katherine W. Timothy,0.96199225,T. Aitchison,0.1524395
