community,avg_inner_edge_weight
67471,2.2
41623,2.333333333
12572,2.357142857
440161,3
946531,2
245050,4
252371,1.666666667
112222,2
650909,2
510760,2
373814,2
347966,2
45023,2.253012048
580507,2
443561,2
195517,2
280767,4
306615,2
169669,2.266666667
309881,2
114770,2.4
3672,2.265582656
29520,1.833333333
542359,3
6938,4
265264,3
73419,2
44368,5
335011,3
309163,3
280112,3
169014,2.333333333
6220,2.666666667
32068,4
127663,3
197410,2
1113560,4
246082,2
507674,3.333333333
201465,4
35468,1.888461538
67785,1.75
12886,3.368421053
38734,2
271212,2
274478,2
806696,3.666666667
134329,2
784114,2
673016,2
108481,2
1045706,2
38016,2.444444444
713649,2
204076,3
41282,6.533333333
67130,2
576766,4
550918,2
273823,2
107763,2
111029,3
136877,1.666666667
372621,2
369418,4
203358,5
232472,2
347625,2.333333333
3331,8.834247649
350173,2
210024,2
98926,3.333333333
47230,3.208333333
360518,2
445768,2
279771,2.666666667
168673,3
142825,2.666666667
1213730,4
5879,2.644171779
430265,3
127322,2.526315789
238420,3.25
101474,3
104740,4.619047619
204390,10
38330,3.428571429
710760,2
299985,2
809558,2
1345042,2
229520,2
879305,2
63523,2.333333333
576362,3
66789,2.4
40941,2.333333333
436213,2
465327,2.333333333
808903,2
110688,2.4
343166,2.125
394862,2
91919,2
232131,3.333333333
464609,2
467875,2
305933,2
32041,2.510638298
2990,2
541677,2
375680,2
264582,2
238734,2
748370,3
72737,3
334329,2
1035810,2
197383,3.75
60437,2.260869565
142484,2.714285714
168332,2
681171,2
5538,2.666666667
31386,2.5
541022,2
378228,6.333333333
238079,2.181818182
126981,2.818181818
75285,3
336877,2
225779,2
199931,2
170880,3
439793,2
835065,2
1096657,2
366125,3
92233,3
435872,2
187828,2.391304348
948711,2
273078,2
161980,2
136132,2.277777778
165246,3
560518,2
257575,2.333333333
371939,2.125
202676,2
65730,3.666666667
264241,2.769230769
238393,3.571428571
101447,2
363039,2.3
308140,2.333333333
60096,2
566466,2
