,source,target
0,101679,67561054
1,101679,132696055
2,101679,71067727
3,101679,174541724
4,101679,165408696
5,101679,201229965
6,101679,196671206
7,101679,181488477
8,101679,174893026
9,101679,225996017
10,101679,208208142
11,101679,203298948
12,101679,13612136
13,101679,265976343
14,101679,61148388
15,101679,58242843
16,101679,49894202
17,1297873,218655705
18,1297873,47104669
19,1842479,262990818
20,2078980,119969462
21,2078980,116548425
22,2078980,91940041
23,2078980,86594319
24,2078980,102138382
25,2078980,98800027
26,2078980,133607334
27,2078980,174927270
28,2078980,185944334
29,2078980,221191217
30,2078980,89605570
31,2078980,226382822
32,2078980,218902084
33,2078980,229896160
34,2078980,228470934
35,2078980,192377706
36,2078980,212120150
37,2078980,198235904
38,2078980,37194621
39,2078980,65571403
40,2078980,250718315
41,2078980,258678683
42,2078980,253952407
43,2534248,42585692
44,2534248,256248138
45,2534248,237721945
46,2534248,117982000
47,2534248,88680318
48,2534248,99931690
49,2534248,194481741
50,2534248,166999388
51,2534248,164253554
52,2534248,147597951
53,2534248,52336679
54,2534248,31798340
55,2534248,5943107
56,2534248,222876407
57,2534248,202430559
58,2534248,200080174
59,2534248,194829378
60,2880585,127599603
61,2880585,120987157
62,2880585,133432447
63,2880585,198715823
64,2880585,181647617
65,2880585,257995337
66,2880585,237972962
67,2880585,79805601
68,2880585,58154603
69,2880585,21276269
70,2880585,80102206
71,2880585,71500505
72,2880585,144529963
73,2880585,165915291
74,2880585,151039169
75,2880585,158736334
76,2911706,129450252
77,3621714,210691989
78,3621714,210838450
79,3621714,203058991
80,3621714,187375314
81,3621714,176060783
82,3621714,139449311
83,3621714,162635999
84,3621714,189077145
85,3621714,261731001
86,3621714,265594772
87,3621714,12883653
88,3621714,40801950
89,3621714,45457826
90,3621714,91831265
91,3621714,104341496
92,3621714,113782212
93,3621714,122996142
94,3621714,127122133
95,3621714,129876307
96,4688582,173547690
97,4688582,237087080
98,4688582,251804198
99,4688582,147850070
100,4688582,158466015
101,4688582,172526189
102,4688582,159136220
103,4688582,177314029
104,4688582,174284586
105,4688582,181704835
106,4688582,218373903
107,4688582,225534323
108,4688582,253456735
109,4688582,259122501
110,4688582,256465729
111,4688582,12458170
112,4688582,11462300
113,4688582,24890474
114,4688582,63055260
115,4688582,120482968
116,4688582,114826595
117,4688582,127913339
118,4742840,224111184
119,4742840,198099630
120,4742840,184695962
