title,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.759169,28.459407,29.739405,31.2471435,33.088014,35.0354235,36.70473,37.893149,39.3255945,41.4526005,43.07888,44.6461015
acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.790401,25.7277725,26.700385,27.3075995,28.2289995,29.591643,30.3414705,31.253376,32.580974,33.694678,34.4465455,35.221397,35.98791,36.668131,37.4274105,38.1850155,38.8187925,39.771039,40.5479985,41.0479345,42.0007845
cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0757815,27.021976,28.151881,29.6153175,30.8613665,32.1040665,32.993889,33.887851,34.9064995,36.011015,37.078819,38.348566,39.5068695
growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.67107,19.2487295,20.8361555,22.6405865,23.543108,24.9085565,25.832923,26.3990995,27.8277625,28.763621,29.6591725,30.4430255,31.521803
structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.204886,18.122665,18.8534865,20.002508,20.754027,21.3350785,21.878067,22.6783845,23.247995,24.312603,25.0308785,25.7786915,26.357601,26.806911,27.3154235,27.7665865,28.2126835,28.6788235,29.017982
machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,22.2,22.2425,22.2425,22.2954465,22.3797325,22.5450745,22.5769155,22.656977,22.656977,22.7514375,22.7514375,22.7821395,22.7761215,22.7761215,22.7761215,22.8068235,22.8068235,22.828813,22.828813,22.828813,22.828813,22.828813,22.828813,22.828813
apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.59875,21.630625,21.758125,21.7635395,21.9683215,21.969741,22.0354375,22.066131,22.0814905,22.1092685,22.1092685,22.1177685,22.164051,22.164051,22.1821985,22.1870265,22.20174,22.2099935,22.214439,22.229127,22.241809,22.2465265,22.2465265,22.263008
patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.843777,17.704997,18.89294,20.378451,21.6485805,22.639774,24.1365985,25.3247285,26.646096
blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.620118,17.2687275,18.040349,18.4017605,18.9432105,19.5063865,20.0871575,20.4856545,20.73133,21.1288495,21.4712295,21.737339,22.0536835
protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6368445,16.346127,16.9963005,18.1232645,19.0264915,19.688582,20.734796,21.165219,21.9297685
electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.588949,13.1227065,14.116586,14.6003975,15.3165565,15.830883,16.574276,17.33302,17.8766885,18.6872655,19.395409,20.1468005,20.777322,21.4368965,21.7301465,22.403967,22.836923
control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8879485,12.2203665,13.0557805,13.6264535,14.5934475,15.0281545,16.0678405,16.7809905,17.498025,18.5689145,19.4827155,20.141406,20.836417,22.405245,23.3354,24.6108505
water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.997087,14.1258705,14.4533075,14.769652,15.196352,15.610336,15.992649,16.7427315,17.0344175,17.272987,17.550954,18.1366125,18.46246,18.626357,19.088162,19.597278,19.8687085,20.1955845,20.579334,20.966764
serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0968615,13.4831015,13.9265295,14.3781175,14.90822,15.2976815,16.4276885,17.102427,17.3988645,17.7688015,18.4194425,18.868115,19.1478925,19.83669,20.58962,21.155482,21.479111
energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2367255,12.727626,13.0169065,13.4194835,14.1409295,14.5718795,14.8817725,15.200191,15.7709065,16.107158,16.6446215,16.9624195,17.379455,17.8654765,18.206522,18.691804,19.150396,19.7634415
experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.464631,12.920503,13.349974,13.7899255,14.2413435,14.4051725,14.6348255,15.0153535,15.2061275,15.3429775,15.491192,15.898121
metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5259245,10.21887,10.6843725,11.2736945,11.8323655,12.017572,12.639704,12.9469365,13.294697,13.5313625,14.2125015,14.515705,14.669096,15.0064865,15.342007,15.625244,15.8656325,16.096144,16.1755255,16.363724,16.645924,16.8063955,17.0092395
brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.870178,11.236222,11.6574225,12.2366295,12.608343,13.253578,13.696377,14.266047,14.7387405,15.2233765,15.6789765,16.377379
development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.301208,10.6415395,11.3578685,11.682509,12.0872025,12.5957575,13.1844845,13.571651,13.8433025,14.209406,14.607784,15.013013,15.258323,15.8217285,16.335851
disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.541562,9.694035,10.278665,10.4945395,10.859844,11.3582585,11.673345,12.081243,12.17663,12.7025675,13.078276,13.207663,13.393762,13.530187,13.7541365,13.994848,14.074017,14.3718145,14.4872615,14.562665,14.8855035,15.0858145,15.4032215,15.7675995,15.8897275,16.04974
synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.796518,10.3241045,10.68215,10.890315,11.18212,11.6941685,12.0219285,12.23153,12.462458,12.8425185,13.149003,13.6494065,14.085397,14.3171325,14.663346,15.001561,15.551171,15.990791,16.25798,16.374821
liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.114287,10.499779,11.0012875,11.4439675,11.9454335,12.5915865,13.150844,13.4755695,13.7641955,14.0642115,14.378992,14.736791,14.876361,15.1245015
acids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.089997,10.303228,10.904229,11.5950835,11.9933255,12.3685835,12.773651,13.1570265,13.5216425,13.822908,14.2051275,14.848093
clinical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35346,10.6350055,11.0005395,11.0515225,11.1747385,11.6227905,11.7917875,11.956101,12.1666205,12.41522,12.76406,12.9566955,13.01039,13.1972115,13.693127,14.257748
virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.545382,8.2460625,9.07069,9.553524,10.040098,10.892393,11.8729615,12.991077,13.7713685,14.32624,15.3198815,15.9222,16.783199
molecular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6313595,8.21865,9.0534605,9.9144085,10.3331865,10.952692,11.740965,12.520568,13.178553,14.121798,14.7096835,15.3442255,15.971075
reactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0818545,8.521381,8.935246,9.214709,9.438242,9.975034,10.7360135,11.413438,11.6264905,11.963592,12.2478235,12.4296725,12.7940505,12.919757,13.349024,13.587228,13.7228625,13.9243465,14.1614115,14.448074,14.6126935
binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6199775,9.096921,9.917035,10.3695155,10.8175845,11.3551415,11.717131,12.2548835,12.69492,13.0420855,13.650201,13.966486,14.2218175
electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.443328,10.6758455,10.791862,10.858689,11.123481,11.206458,11.2698,11.3611835,11.472661,11.6174925,11.670014,11.704558,11.730925,11.77402,11.855246,11.910972,11.9641395,12.0005535,12.029717,12.0846185,12.136783,12.2212985,12.395795,12.478415
history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7299295,9.80722,9.80722,9.904052,10.083725,10.1802085,10.1873655,10.4459185,10.5734185,10.735097,11.2332735,11.2703845,11.4156325,11.5353465,11.7788885,11.9086325,12.1231555,12.40431,12.7985145,13.0202115,13.307639,13.2224265,13.7222775,14.0748235,14.4199405
optical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4526815,8.2626295,8.699946,10.0601415,11.1625575,12.052295,12.7411775,13.445904,13.848362,14.4340375,15.0332365
after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2284905,9.932741,10.123872,10.20809,10.439749,10.7594765,10.8616805,11.050831,11.2097725,11.433705,11.736968,11.899692,12.2538275,12.590895,12.9296115,13.400639,13.595799
species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5359185,8.781475,9.3061715,9.5016715,9.73628,9.8857015,9.9675395,9.973583,10.2813085,10.690949,11.111988,11.267113,11.3524445,11.6438075,11.7864545,11.9144135,11.9936165,12.1769445,12.391782,12.660076,12.9844615,13.522758,13.77854,14.361198,14.668762
eine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9659375,10.9659375,10.9659375,11.0934375,11.0934375,11.0934375,11.0934375,11.0934375,11.0934375,11.0934375,11.2209375,11.2209375,11.2209375,11.2209375,11.3484375,11.3484375,11.3484375,11.3484375,11.3484375,11.3484375,11.3484375,11.4121875,11.4121875,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375,11.466375
carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.268448,8.423046,8.747661,8.890359,9.3592615,9.917023,10.4258925,11.403401,11.892457,12.4982775,12.8875945,13.2956115,14.0228035,14.4521555,14.893314
note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2157475,10.2160705,10.2384085,10.2572275,10.2687195,10.311738,10.3805965,10.449625,10.6576795,10.6686445,10.8621045,10.8659805,10.8667795,10.948524,11.027183,11.05525,11.094367,11.2826335,11.3332425,11.4148765,11.5404215,11.615859,11.691322,11.8747945,11.935391,12.0344415,12.0905245,12.182877,12.3003725,12.3484995,12.435463,12.4686045,12.607231
metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.398275,9.5961635,9.7026685,9.872354,10.282513,10.427574,11.027844,11.533016,11.711499,11.8508225,12.493703,12.8413615,13.0477585
response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.597666,9.1297065,9.5635295,10.227167,10.900656,11.212436,11.4614265,11.843459,12.085131,12.331121,12.580035,12.707195
amino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6456855,7.102739,7.852864,8.4506775,9.0198545,9.351618,9.5260805,9.6937685,9.981434,10.3830165,10.8421015,11.2648915,11.4050055,11.7429145,12.1181895,12.3675115,12.635185,12.814467,12.967348,13.2890985,13.5215735,13.772774,13.886181,14.0044585
transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.798744,6.978408,7.302581,7.7489415,8.3852685,9.13632,10.101308,10.316256,10.781733,11.229377,11.608919,11.8943575,12.138911,12.421349,12.6077115,12.9401805,13.289199,13.486807,13.812935,14.139199,14.7909535
mice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7825275,7.221051,7.8823595,8.1689625,8.667139,9.080868,9.3849725,9.735674,9.9411955,10.3164025,10.7125025,11.210475,11.4492485,11.7606205,12.089885,12.31233,12.8174935,13.0004985,13.2474915,13.5686895,13.8245225,14.0041275,14.394575
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4855565,8.7322095,8.9685435,9.19217,9.393671,9.8164865,10.1380585,10.343665,10.5471635,10.735906,11.324905,11.4505265,11.7323015,12.2325945,12.461865,12.64827,12.7998845,13.129132,13.371416
compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1953375,9.206005,9.442152,9.6438825,10.128663,10.453125,10.5607605,10.917684,11.154069,11.299623,11.5337555,11.93799,12.068057,12.287323
