0,title,primary_field,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,publisher
0,Molecular cloning : a laboratory manual,Biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160098522,0.029723992,-0.039175258,-0.060085837,-0.068493151,-0.088235294,Cold Spring Harbor Laboratory Press
1,Protein Measurement with the Folin Phenol Reagent,Chromatography,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836879433,0.243243243,0.099378882,0.019774011,-0.024930748,-0.053977273,-0.069069069,-0.077419355,-0.083916084,-0.083969466,-0.083333333,-0.090909091,American Society for Biochemistry and Molecular Biology
2,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,Biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0.330645161,0.115151515,0,-0.054347826,-0.066091954,-0.073846154,-0.07641196,-0.086330935,Nature
3,A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,Chromatography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21192053,0.038251366,-0.021052632,-0.043010753,-0.053370787,-0.059347181,-0.082018927,Anal Biochem
4,A short history of SHELX,Crystallography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115555556,-0.075697211,International Union of Crystallography
5,A mathematical theory of communication,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004535147,-0.027334852,-0.074941452,Alcatel-Lucent
6,A mathematical theory of communication,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004535147,-0.027334852,-0.074941452,University of Illinois Press
7,CRC Handbook of chemistry and physics,Library science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052486188,0.005249344,-0.023498695,-0.048128342,-0.081460674,CRC Press
8,Numerical Recipes in C: The Art of Scientific Computing,Computational science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216494845,0.053672316,-0.002680965,-0.043010753,-0.081460674,Cambridge University Press
9,Physics of Semiconductor Devices,Electronic engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703703704,0.152173913,0.067924528,0.007067138,-0.007017544,-0.035335689,-0.04029304,-0.053435115,-0.084677419,Wiley-Interscience
10,Principles of optics,Applied mathematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027247956,-0.028011204,-0.037463977,-0.041916168,-0.04375,-0.062091503,-0.087108014,Pergamon Press
11,Quantum Computation and Quantum Information,Quantum simulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216763006,-0.016627078,-0.077294686,American Association of Physics Teachers
12,Computers and Intractability; A Guide to the Theory of NP-Completeness,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063444109,0.011363636,-0.005617978,-0.016949153,-0.077586207,W. H. Freeman & Co.
13,The nature of statistical learning theory,Unsupervised learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220895522,0.007334963,-0.07038835,Taylor & Francis Group
14,SINGLE STEP METHOD OF RNA ISOLATION BY ACID GUANIDINIUM-THIOCYANATE-PHENOL-CHLOROFORM EXTRACTION,Biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15015015,-0.010443864,-0.052770449,-0.066852368,-0.086567164,Academic Press
15,Nonparametric Estimation from Incomplete Observations,Sampling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682539683,0.231132075,0.072796935,0.017857143,-0.007017544,-0.024734982,-0.043478261,-0.075757576,Taylor & Francis Group
16,Genetic Algorithms in Search  Optimization and Machine Learning,Genetic programming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551724138,0.101587302,0.025936599,-0.030898876,-0.07826087,Addison-Wesley Professional
17,Table of integrals  series and products,Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019417476,0,0.003174603,-0.018987342,-0.038709677,-0.053691275,-0.085106383,American Society of Mechanical Engineers
