title,primary_field,publisher,2000,2005,2010,2015,2020
"""A new hexagonal phase displaying pseudo-icosahedral symmetry in Zn–Mg–Y alloy”",Crystallography,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
"""Fast"" and ""slow"" skeleto-fusimotor innervation in cat tenuissimus spindles; a study with the glycogen-depletion method.",Biology,Blackwell Publishing Ltd,-1.897119984885881,,,,
"""I Don't Know If She Is Bisexual or If She Just Wants to Get Attention"": Analyzing the Various Mechanisms Through Which Emerging Adults Invisibilize Bisexuality",Psychology,Taylor & Francis Group,,,,,-1.2819343457956478
"""Important"" Life Events and Depression among Older Adults The Role of Psychological and Social Resources",Psychology,SAGE Publications,,,,-1.897119984885881,
"""Peripheral"" benzodiazepine binding sites in the maudsley reactive rat: Selective decrease confined to peripheral tissues",Psychology,Elsevier,,-1.897119984885881,-1.897119984885881,,
"""Special article"" in honor of the bicentennial year 1776-1976.",Psychology,Child Psychiatry Hum Dev,-1.897119984885881,,,,
"""Thinking about not-thinking"": neural correlates of conceptual processing during Zen meditation.",Breathing,Public Library of Science,,,,-1.2819343457956478,-1.2819343457956478
"""Vaccination"" of shrimp against viral pathogens: phenomenology and underlying mechanisms.",Paradigm shift,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
' An algorithm for solving the matrix equation X=FXFT + S',Matrix splitting,Taylor & Francis Group,-1.897119984885881,,,,
'High-affinity' binding sites for glycine in synaptosomal-mitochondrial fractions of rat CNS-regions.,Biology,Experientia,-1.897119984885881,,,,
"'I Knew We Would Win"": Hindsight Bias for Favorable and Unfavorable Team Decision Outcomes",Psychology,J Appl Psychol,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
'Numbness of the feet' is a poor indicator for polyneuropathy in Type 2 diabetic patients,Medicine,Blackwell Science Ltd,,-1.2819343457956478,-0.9038682118755978,-0.6301723813985569,-0.6301723813985569
"(. pi. ,. pi. n) puzzle above the (3,3) resonance",Atomic physics,American Physical Society,,-1.897119984885881,,,
"(2R)‐5‐Alkyl‐2‐tert‐butyl‐6‐methyl‐4H ‐1,3‐dioxin‐4‐one als Zwischenprodukte zur Herstellung von α,β,β‐trisubstituierten β‐Hydroxycarbonsäuren unter Selbstregeneration des stereogenen Zentrums von (R)‐3‐Hydroxybuttersäure",Stereochemistry,WILEY‐VCH Verlag,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,,
(62) Livedo reticularis and multiple sclerosis: a case of Sneddon's syndrome',Medicine,Blackwell Publishing Ltd,,,,-1.897119984885881,
(Pea)nuts and bolts of visual narrative: Structure and meaning in sequential image comprehension,Psychology,NIH Public Access,,,,,-1.2819343457956478
